City_Data,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,nanortalik,0,GL,1532561633,88,60.14,-45.24,41.06,7.99
1,manokwari,56,ID,1532561633,100,-0.87,134.08,82.37,4.18
2,souillac,0,FR,1532559600,73,45.6,-0.6,71.6,2.24
3,geraldton,75,CA,1532559600,49,49.72,-86.95,71.6,14.99
4,ushuaia,20,AR,1532559600,60,-54.81,-68.31,39.2,17.72
5,chokurdakh,100,RU,1532561635,92,70.62,147.9,41.15,13.24
6,nemuro,68,JP,1532561635,100,43.32,145.57,59.51,10.33
7,hilo,90,US,1532559900,78,19.71,-155.08,80.6,13.87
8,punta arenas,40,CL,1532559600,80,-53.16,-70.91,39.2,12.75
9,mehamn,75,NO,1532555400,93,71.03,27.85,51.8,3.36
10,albany,90,US,1532559240,83,42.65,-73.75,77.0,11.41
11,petukhovo,0,RU,1532561637,74,55.06,67.89,60.41,6.87
12,arraial do cabo,40,BR,1532559600,88,-22.97,-42.02,68.0,3.36
13,saint-pierre,0,FR,1532559600,60,48.95,4.24,73.4,5.82
14,rikitea,88,PF,1532561638,100,-23.12,-134.97,73.55,4.41
15,bilibino,48,RU,1532561638,87,68.06,166.44,63.02,2.95
16,mitu,32,IR,1532561639,67,36.2,46.09,62.66,1.61
17,vardo,90,US,1532559300,88,39.62,-77.74,77.0,1.72
18,kavaratti,80,IN,1532561639,98,10.57,72.64,82.01,21.18
19,atuona,0,PF,1532561640,100,-9.8,-139.03,79.13,15.26
20,puerto ayora,90,EC,1532559600,83,-0.74,-90.35,73.4,11.41
21,ponta do sol,0,BR,1532561640,67,-20.63,-46.0,57.35,4.63
22,georgetown,75,GY,1532559600,100,6.8,-58.16,75.2,6.93
23,hermanus,20,ZA,1532561642,95,-34.42,19.24,44.48,3.51
24,morant bay,20,JM,1532559600,74,17.88,-76.41,86.0,24.16
25,grand-santi,76,GF,1532561642,95,4.27,-54.38,75.35,1.95
26,cape town,20,ZA,1532559600,76,-33.93,18.42,57.2,12.75
27,mahon,40,IE,1532559600,93,51.89,-8.4,60.8,9.17
28,busselton,44,AU,1532561643,100,-33.64,115.35,60.05,17.83
29,fukue,75,JP,1532559600,74,35.03,136.69,84.2,6.93
30,mitsamiouli,20,KM,1532556000,61,-11.38,43.28,77.0,13.87
31,cairns,20,AU,1532559600,69,-16.92,145.77,73.4,11.41
32,pangkalanbuun,36,ID,1532561645,93,-2.68,111.62,76.61,4.18
33,ust-kuyga,92,RU,1532561645,95,70.0,135.55,46.01,10.67
34,darlowo,0,PL,1532561645,97,54.42,16.41,69.14,4.97
35,kuusamo,0,FI,1532560800,93,65.96,29.19,64.4,2.24
36,beringovskiy,0,RU,1532561351,94,63.05,179.32,57.08,10.45
37,bredasdorp,20,ZA,1532556000,82,-34.53,20.04,60.8,3.36
38,cabedelo,20,BR,1532559600,88,-6.97,-34.84,73.4,8.05
39,kapaa,1,US,1532559360,78,22.08,-159.32,86.0,13.87
40,barrow,36,AR,1532561647,84,-38.31,-60.23,37.82,7.2
41,tubuala,90,PA,1532559600,100,9.52,-79.03,77.0,9.17
42,castro,48,CL,1532561648,99,-42.48,-73.76,36.2,4.07
43,yellowknife,5,CA,1532559600,56,62.45,-114.38,69.8,11.41
44,torbay,75,CA,1532559600,83,47.66,-52.73,69.8,20.8
45,mataura,48,NZ,1532561649,95,-46.19,168.86,42.5,6.31
46,yuzhou,8,CN,1532559600,88,34.16,113.47,80.6,8.95
47,port blair,68,IN,1532561650,100,11.67,92.75,81.38,19.84
48,talnakh,44,RU,1532561650,91,69.49,88.39,45.56,13.47
49,saint-leu,0,RE,1532559600,72,-21.15,55.28,68.0,5.82
50,makakilo city,75,US,1532559420,51,21.35,-158.09,86.0,6.93
51,berlevag,75,NO,1532555400,93,70.86,29.09,51.8,3.36
52,avarua,75,CK,1532559600,94,-21.21,-159.78,73.4,16.11
53,cidreira,92,BR,1532561651,96,-30.17,-50.22,59.96,17.72
54,bethel,90,US,1532559180,56,60.79,-161.76,69.8,11.41
55,kahului,75,US,1532559360,70,20.89,-156.47,84.2,20.8
56,bambous virieux,40,MU,1532559600,68,-20.34,57.76,71.6,12.75
57,sorong,0,ID,1532561653,100,-0.86,131.25,81.83,8.66
58,bluff,44,AU,1532561653,79,-23.58,149.07,62.39,4.52
59,hobart,75,AU,1532559600,61,-42.88,147.33,50.0,10.29
60,munster,75,DE,1532560800,60,52.99,10.09,77.0,6.93
61,fortuna,75,ES,1532559600,83,38.18,-1.13,77.0,2.24
